SU,28-Dec-99,, 
0,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
2, 41155.440, 10285.600, 511.552, (  83)
2, 41142.770, 10287.470, 511.978, (  82)
2, 41130.400, 10289.330, 512.012, (  81)
2, 41116.010, 10291.890, 512.088, (  80)
2, 41099.570, 10295.500, 512.199, (  79)
2, 41081.920, 10299.540, 512.286, (  78)
2, 41063.950, 10303.490, 512.207, (  77)
2, 41049.610, 10306.780, 512.234, (  76)
2, 41038.580, 10311.110, 512.182, (  75)
2, 41028.720, 10316.730, 512.131, (  74)
2, 41017.780, 10324.160, 512.115, (  73)
2, 41009.320, 10331.760, 512.208, (  72)
2, 41002.100, 10340.650, 512.234, (  71)
2, 40997.010, 10349.010, 512.055, (  70)
2, 40996.160, 10352.420, 512.041, (  69)
2, 40997.720, 10357.670, 512.048, (  68)
2, 41001.940, 10367.210, 512.081, (  67)
2, 41005.950, 10373.740, 512.048, (  66)
2, 41010.490, 10378.540, 511.946, (  65)
2, 41020.610, 10386.490, 511.926, (  64)
2, 41031.420, 10394.370, 512.032, (  63)
2, 41042.370, 10400.890, 512.061, (  62)
2, 41050.730, 10404.870, 512.087, (  61)
2, 41060.750, 10408.500, 512.102, (  60)
2, 41070.040, 10410.740, 512.016, (  59)
2, 41081.420, 10412.580, 511.793, (  58)
2, 41099.420, 10414.930, 511.922, (  57)
2, 41114.710, 10416.330, 512.120, (  56)
2, 41132.030, 10417.090, 512.105, (  55)
2, 41150.120, 10417.280, 512.237, (  54)
2, 41164.530, 10417.670, 512.016, (  53)
2, 41182.490, 10417.930, 511.982, (  52)
2, 41199.990, 10417.170, 512.009, (  51)
2, 41213.460, 10416.630, 511.860, (  50)
2, 41229.170, 10416.090, 511.691, (  49)
2, 41243.530, 10415.370, 511.775, (  48)
2, 41259.520, 10411.640, 511.735, (  47)
2, 41267.720, 10408.740, 511.795, (  46)
2, 41280.130, 10403.570, 511.707, (  45)
2, 41284.860, 10401.080, 511.715, (  44)
2, 41294.610, 10395.130, 511.743, (  43)
2, 41302.580, 10389.630, 511.730, (  42)
2, 41311.350, 10385.080, 511.505, (  41)
2, 41321.800, 10380.070, 511.651, (  40)
2, 41329.660, 10377.170, 511.746, (  39)
2, 41338.200, 10375.400, 511.858, (  38)
2, 41350.340, 10374.090, 511.724, (  37)
2, 41365.210, 10372.040, 511.820, (  36)
2, 41381.010, 10369.800, 512.091, (  35)
2, 41394.300, 10367.660, 511.900, (  34)
2, 41406.820, 10365.210, 511.736, (  33)
2, 41416.580, 10361.900, 511.619, (  32)
2, 41425.020, 10357.290, 511.623, (  31)
2, 41432.570, 10351.830, 511.685, (  30)
2, 41441.560, 10344.310, 511.733, (  29)
2, 41450.540, 10333.810, 511.808, (  28)
2, 41457.710, 10326.100, 511.759, (  27)
2, 41465.520, 10318.120, 511.913, (  26)
2, 41474.140, 10309.260, 512.031, (  25)
2, 41479.620, 10301.830, 511.955, (  24)
2, 41482.790, 10295.230, 512.065, (  23)
2, 41484.260, 10286.250, 512.140, (  22)
2, 41479.710, 10271.020, 512.251, (  21)
2, 41474.750, 10264.810, 512.286, (  20)
2, 41469.030, 10259.650, 512.447, (  19)
2, 41461.480, 10255.540, 512.352, (  18)
2, 41452.890, 10250.630, 512.011, (  17)
2, 41444.020, 10245.610, 511.879, (  16)
2, 41438.500, 10243.930, 511.925, (  15)
2, 41430.300, 10242.830, 511.759, (  14)
2, 41424.310, 10242.960, 511.752, (  13)
2, 41417.930, 10242.650, 511.595, (  12)
2, 41410.730, 10241.650, 511.594, (  11)
2, 41400.870, 10240.980, 511.684, (  10)
2, 41391.390, 10241.760, 511.962, (   9)
2, 41380.210, 10242.660, 512.043, (   8)
2, 41369.520, 10243.650, 512.171, (   7)
2, 41357.970, 10244.280, 512.137, (   6)
2, 41347.320, 10245.020, 512.216, (   5)
2, 41337.740, 10245.570, 511.954, (   4)
2, 41327.930, 10246.100, 512.109, (   3)
2, 41318.640, 10245.930, 512.449, (   2)
2, 41312.780, 10243.620, 512.727, (   1)
0, 0.000, 0.000, 0.000,
2, 41405.160, 10271.880, 502.841, (   1)
2, 41395.530, 10273.230, 502.826, (   2)
2, 41383.310, 10273.470, 502.919, (   3)
2, 41370.280, 10274.050, 502.950, (   4)
2, 41358.050, 10275.000, 503.078, (   5)
2, 41346.720, 10275.630, 503.026, (   6)
2, 41332.840, 10276.440, 502.919, (   7)
2, 41323.840, 10276.670, 502.848, (   8)
2, 41311.410, 10278.600, 502.815, (   9)
2, 41303.070, 10279.950, 502.920, (  10)
2, 41292.080, 10280.990, 503.084, (  11)
2, 41283.230, 10281.620, 503.142, (  12)
2, 41272.480, 10282.120, 502.945, (  13)
2, 41263.350, 10282.820, 502.906, (  14)
2, 41253.550, 10284.360, 502.971, (  15)
2, 41240.090, 10287.550, 503.090, (  16)
2, 41229.730, 10290.060, 503.108, (  17)
2, 41220.770, 10292.170, 502.947, (  18)
2, 41211.780, 10293.620, 502.858, (  19)
2, 41198.990, 10295.290, 502.722, (  20)
2, 41187.400, 10296.610, 502.710, (  21)
2, 41175.460, 10297.660, 502.576, (  22)
2, 41161.510, 10298.310, 502.620, (  23)
2, 41149.040, 10299.360, 502.757, (  24)
2, 41136.270, 10300.720, 502.847, (  25)
2, 41124.400, 10302.500, 502.852, (  26)
2, 41112.570, 10305.080, 502.930, (  27)
2, 41101.560, 10308.120, 503.010, (  28)
2, 41092.790, 10310.050, 502.940, (  29)
2, 41087.640, 10310.650, 502.947, (  30)
2, 41083.600, 10310.350, 502.874, (  31)
2, 41070.620, 10313.870, 502.855, (  32)
2, 41058.590, 10317.390, 502.900, (  33)
2, 41049.700, 10319.870, 502.937, (  34)
2, 41042.330, 10323.320, 503.006, (  35)
